PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Link,IIIF manifest
99,14,Bibliothèque sainte Geneviève,Paris,France,,,Italy,South,Unknown,,,13,1250,1275,,,,,0,,,,,,,,2,,,,Y,,https://bvmm.irht.cnrs.fr//consult/consult.php?reproductionId=13137,
100,1180,Bibliothèque sainte Geneviève,Paris,France,,,France,Ile-de-France,Paris,,,13,1225,1235,,,,,0,,,,,,,,2,,,,Y,,https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=13349,
101,Arsenal 590,Bibliothèque de l'Arsenal,Paris,France,,,France,Ile-de-France,Paris,,,14,ca. 1300,,,,,,0,,,,,,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b84581342,
102,Latin 10421,"Bibliothèque nationale de France, site Richelieu",Paris,France,Unknown,Y,,,,13th century,,13,,,Unknown,,230,155,385,,,,1,658,,,2,,,,Y,,http://gallica.bnf.fr/ark:/12148/btv1b550130861,
103,Latin 10422,"Bibliothèque nationale de France, site Richelieu",Paris,France,Unknown,Y,,,,13th century,,13,,,Unknown,,115,90,205,,,,1,576,,,2,,,,Y,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc72143v,
104,Latin 10425,"Bibliothèque nationale de France, site Richelieu",Paris,France,Unknown,Y,,,,13th century,,13,,,Unknown,,140,105,245,,,,1,593,,,2,,,,P,,http://gallica.bnf.fr/ark:/12148/btv1b55013496z,
105,Latin 10426,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,France,Ile-de-France,Paris,,,13,Unknown,,,,,,0,,,,,,,,2,,,,Y,Y,https://gallica.bnf.fr/ark:/12148/btv1b8447291v.r=latin%2010426?rk=64378;0,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447291v/manifest.json
106,Latin 10428,"Bibliothèque nationale de France, site Richelieu",Paris,France,Italy?,N,Italy,,,13th century,,13,,,Unknown,,230,160,390,,,,1,381,,,2,,,,Y,Y,https://gallica.bnf.fr/ark:/12148/btv1b52506323q.r=10428%20latin?rk=21459;2,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52506323q/manifest.json
107,Latin 11,"Bibliothèque nationale de France, site Richelieu",Paris,France,Unknown,N,France,Unknown,Unknown,End of 12th century - 13th century,Y,13,Unknown,,Unknown,,425,300,725,,,,1,300,,,2,,,,Y,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc59021j,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b8455938j
108,Latin 11534,"Bibliothèque nationale de France, site Richelieu",Paris,France,Unknown,Y,,,,End of 12th century,,13,,,Unknown,,465,355,820,,,,2,548,,,2,,,,Y,,http://gallica.bnf.fr/ark:/12148/btv1b10022500v,
109,Latin 11535,"Bibliothèque nationale de France, site Richelieu",Paris,France,Unknown,Y,,,,End of 12th century,,13,,,Unknown,,470,335,805,,,,2,345 ff.,,,2,,,,Y,,http://gallica.bnf.fr/ark:/12148/btv1b100224997,
110,Latin 11935,"Bibliothèque nationale de France, site Richelieu",Paris,France,Paris,Y,France,Ile-de-France,Paris,1317-1337,,14,1317,1337,Robert de Billyng,,,,0,,,,,705,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b105097447,https://iiif.biblissima.fr/collections/manifest/76896e4048221548c97d56c558f2f9dffaeb48a7?tify={%22view%22:%22info%22}
111,Latin 17198,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,France,Ile-de-France,Paris,,,13,Unknown,,,,,,0,,,,,,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b90766235,
112,Latin 179,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,France,Ile-de-France,Paris,,,13,Unknown,,,,,,0,,,,,,,,2,,,,Y,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc59755b,
113,Latin 17947,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,France,Ile-de-France,Paris,,,13,Unknown,,,,,,0,,,,,,,,2,,,,Y,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc68914k/cd0e43,
114,Latin 18,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,Italy,Emilia-Romagna,Bologna,,,13,Unknown,,,,,,0,,,,,,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b6000540x,
115,Latin 23,"Bibliothèque nationale de France, site Richelieu",Paris,France,Unknown,Y,,,,13th century,,13,,,Unknown,,395,270,665,,,,1,477 ff.,,,2 and 3,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b105110550,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110550/manifest.json
116,Latin 248,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,France,Ile-de-France,Paris,,,14,Unknown,,,,,,0,,,,,,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b8455904r,
117,Latin 30,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,Spain,Catalogna,Unknown,,,13,Unknown,,,,,,0,,,,,,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b10033390g,
118,Latin 40,"Bibliothèque nationale de France, site Richelieu",Paris,France,South of Italy?,Y,Italy,,,End of 13th century - 14th century,,13/14,,,Maître de la Bible de Manfred?,,255,180,435,,,,1,463 ff.,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b8455927r/f1.item,
119,Latin 91,"Bibliothèque nationale de France, site Richelieu",Paris,France,,,France,Vaucluse,Avignon,,,14,Unknown,,,,,,0,,,,,,,,2,,,,Y,,http://gallica.bnf.fr/ark:/12148/btv1b10038621w,
120,NAL 3102,"Bibliothèque nationale de France, site Richelieu",Paris,France,Paris,Y,France,Ile-de-France,Paris,ca. 1350,,14,,,,,,,0,,,,,,,,,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b100324820,"https://iiif.biblissima.fr/collections/manifest/ddb43209ce713681cb019bb2d0ceab5b08a63d82?tify={%22panX%22:0.5,%22panY%22:0.378,%22view%22:%22info%22,%22zoom%22:1.341}"
121,Smith-Lesouëf 19,"Bibliothèque nationale de France, site Richelieu",Paris,France,"Cambrai or Tournai, France",Y,France,Nord,"Cambrai or Tournai, France",End of 13th century,,13,Unknown,,Arnulphus de Camphaing,,144,102,246,,110,66,1,2 + 570 + 2 ff.,,,2,,,,Y,,https://gallica.bnf.fr/ark:/12148/btv1b105326396,
122,Auct. D. 3. 5,Bodleian Library,Oxford,United Kingdom,"Oxford, England",Y,England,Oxfordshire,Oxford?,mid 13th,,13,1250,,,,,,0,,,,,c 18,,,2,,,,P,,https://digital.bodleian.ox.ac.uk/objects/eadd6d56-b068-4976-8188-8ba393da19bf/,
123,Auct. D. 4. 8,Bodleian Library,Oxford,United Kingdom,,,England,Unknown,Unknown,,,13,1240,1250,,,208,140,348,,177,92,,,,,2,,,,Y,,https://digital.bodleian.ox.ac.uk/objects/57aa316c-7248-4d2e-bab5-2f4ed3fc8bac/,
124,Canon. Bibl. Lat. 57,Bodleian Library,Oxford,United Kingdom,"Bologna, Italy",Y,Italy,,,end 13th,,13,,,,,,,0,,,,,c 20,,,2,,,,P,,,https://iiif.bodleian.ox.ac.uk/iiif/viewer/78157766-4689-491d-bd3e-ecfd01eb4c30#?c=0&m=0&s=0&cv=137&r=0&xywh=-2686%2C-1%2C8129%2C4155
125,MS. Lat. bib. e. 7,Bodleian Library,Oxford,United Kingdom,"England, Oxford",,England,,Oxford,"13th century, second quarter",,13,,,,,,,0,,,,,,,,,,,,P,,https://digital.bodleian.ox.ac.uk/objects/f667786c-b5b4-4d25-b2c9-b70488a79be2/,
126,Laud Misc. 752,Bodleian Library,Oxford,United Kingdom,,Y,England,Unknown,Unknown,13th,,13,Unknown,,,,,,0,,,,,,,,2,,,,Y,,,https://iiif.bodleian.ox.ac.uk/iiif/manifest/f667786c-b5b4-4d25-b2c9-b70488a79be2.json
127,,Boston Public Library,Boston,United States of America,,,,,,1220-1260,,13,1220,1260,,,232,158,390,,,,,14/44,,,,,,,Y,,https://ark.digitalcommonwealth.org/ark:/50959/5t34tr51v,
128,,Boston Public Library,Boston,United States of America,,,,,,1225-1250,,13,,1250,,,,,0,,,,4,,,,,,,,Y,,https://www.digitalcommonwealth.org/search/commonwealth:8910kn919,
129,,Boston Public Library,Boston,United States of America,,,,,,1250-1299,,13,1250,1299,,,318,230,548,,,,1,451,,,,,,,Y,,https://www.digitalcommonwealth.org/search/commonwealth:gq67mm95w,
130,Additional 18720,British Library,London,United Kingdom,Bologna,,Italy,Emilia-Romagna,Bologna,,,13,1275,1300,,,385,250,635,,270,160,,,,,2,,,,Y,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8325&CollID=27&NStart=18720,
131,Additional 50003,British Library,London,United Kingdom,,,Spain,Catalogna,Vich?,,,13,1273,,Johannes Poncii,,,,0,,,,,,,,2,,,,Y,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8315&CollID=27&NStart=50003,
132,Royal 1 C II,British Library,London,United Kingdom,,,France,Ile-de-France,Paris,,,13,1275,1300,,,370,240,610,,,,,,,,2,,,,Y,,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=6552,
133,Royal 1 D I,British Library,London,United Kingdom,,,England,Unknown,Oxford or Canterbury?,,,13,1275,1300,William of Devon,,,,0,,,,,,,,2,,,,Y,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8746&CollID=16&NStart=10401,
134,Royal 4 E IX,British Library,London,United Kingdom,Paris,Y,France,Ile-de-France,Paris,late 12th century,,,,,Peter Lombard,,,,0,,,,,421,,,,,,,Y,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100056063395.0x000001#?cv=0&c=0&m=0&s=0&xywh=-2055%2C-1%2C8927%2C6942,https://iiif.biblissima.fr/collections/manifest/fc3965af09dc2f4e665df69892722493d1a94319?tify={%22view%22:%22info%22}
135,49,"Cambridge, Corpus Christi College",Cambridge,United Kingdom,England,Y,,,,1270-80,,13,,,three hands,,345,225,570,,,,1,444,,,2,,,,Y,,,https://dms-data.stanford.edu/data/manifests/Parker/qy662bj1544/manifest.json
136,246,"Cambridge, Corpus Christi College",Cambridge,United Kingdom,England,Y,,,,13 c,,13,,,unknown,,156,102,258,,,,1,400,,,2,,,,Y,,,https://dms-data.stanford.edu/data/manifests/Parker/ns059km6096/manifest.json
137,485,"Cambridge, Corpus Christi College",Cambridge,United Kingdom,England,Y,England,,Gloucester,13c,,13,1200,1299,,,260,175,435,,,,1,379,,,2,54,54,,Y,,,https://parker.stanford.edu/parker/catalog/xk876dn8316
138,John L. Severance Fund 2008.2,Cleveland Museum of Art,Cleveland,United States of America,"Southern France, Toulouse or Avignon",,France,,,13 c,,13,,,,,,,0,,,,,,,,,,,,P,,https://www.clevelandart.org/art/2008.2,
139,,Cleveland Museum of Art,Cleveland,United States of America,,,,,,,,,,,,,,,0,,,,,1,,,,,,,Y,,https://archive.org/details/clevelandart-1959.271-single-leaf-from-a-b,
140,,Cleveland Museum of Art,Cleveland,United States of America,,,,,,1220,,13,1220,,,,,,0,,,,,1,,,,,,,Y,,https://archive.org/details/clevelandart-2011.51-leaf-with-initial-fr,
141,Cod Bodmer 28,"Cologny, Fondation Martin Bodmer",Cologny,Switzerland,Northern France?,,France,,,13,,13,,,,,357,250,607,,,,,1,416,,,,,,Y,Y,https://www.e-codices.ch/en/fmb/cb-0028/bindingRulerS/0/,
142,Cod. Bodmer 187,"Cologny, Fondation Martin Bodmer",Cologny,Switzerland,France,Y,France,,,middle or second half of the 13th century,,13,,,,,183,150,333,,,,1,597,,,,,,,Y,,,https://www.e-codices.ch/metadata/iiif/fmb-cb-0187/manifest.json
143,UTS 048,"Columbia University, Burke Library",New York,United States of America,France?,N,France,,,1200-1299,,13,1200,1299,,,190,140,330,,,,,,,,,,,,Y,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=UTS%20048;docsPerPage=1;startDoc=1;fullview=yes,
144,MS. A.II.3,"Durham, Cathedral Library",Durham,England,Paris,Y,France,Ile-de-France,Paris,late 13th century,,13,,,,,410,260,670,,,,,i+462+i,,,2,,54,,Y,,"https://iiif.durham.ac.uk/index.html?manifest=t2mnp193916h

https://www.durhampriory.ac.uk/mediawiki/Durham_Durham_Cathedral_MS_A.II.3",https://iiif.biblissima.fr/collections/manifest/3455915fcb535c1587cc3f4565b209aaf42c6fa1?tify={%22view%22:%22info%22}
145,McClean 13,Fitzwilliam Museum,Cambridge,England,France,Y,France,,,c 1240,,13,,,,,,,0,,,,,5,,,2,,,,Y,,https://collection.beta.fitz.ms/id/object/118825,
146,Lewis E M 4:1,Free Library of Philadelphia,Philadelphia,United States of America,,,France,Ile-de-France,Paris,,,13,1260,,,,,,0,,,,,,,,2,,,,P,,https://libwww.freelibrary.org/digital/search/?callnumber=Lewis%20E%20M%204:1,
147,Lewis E M 43:6,Free Library of Philadelphia,Philadelphia,United States of America,,,France,Provence,Unknown,,,13,1299,,,,,,0,,,,,,,,2,,,,P,,https://openn.library.upenn.edu/Data/0023/html/lewis_e_m_043_006.html,
148,Lewis E242,Free Library of Philadelphia,Philadelphia,United States of America,,,,,,1240-60,,13,1240,1260,,,,,0,,,,,8,,,,,,Devine 2016,Y,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;docsPerPage=1;startDoc=1;fullview=yes;directlink=LewisE242_4,
149,Lewis E243,Free Library of Philadelphia,Philadelphia,United States of America,Paris,Y,France,Ile-de-France,Paris,1220-30,,13,1220,1230,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_243,
150,Lewis E28,Free Library of Philadelphia,Philadelphia,United States of America,Paris,Y,France,Ile-de-France,Paris,1240,,13,1240,1240,,,,,0,,,,1,653,,,,,,,Y,,https://archive.org/details/lewis_e_028,
151,Lewis E29,Free Library of Philadelphia,Philadelphia,United States of America,"Oxford, England",Y,,,,1230,,13,1230,1230,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_029,
152,Lewis E30,Free Library of Philadelphia,Philadelphia,United States of America,"Oxford, England",Y,,,,1225,,13,1225,1255,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_030,
153,Lewis E31,Free Library of Philadelphia,Philadelphia,United States of America,"Oxford?, England",Y,,,,c 1230,,13,1220,1240,,,232,166,398,,,,,ff. v + 329 + iv,,,2,62,65,,Y,,https://archive.org/details/lewis_e_031,
154,Lewis E32,Free Library of Philadelphia,Philadelphia,United States of America,"Oxford?, England",Y,,,,c 1230,,13,1220,1240,,,212,155,367,,,,,ff. i + 253 + iiv + i,,,2,,60-66,,Y,,https://archive.org/details/lewis_e_032,
155,Lewis E33,Free Library of Philadelphia,Philadelphia,United States of America,Paris,Y,France,Ile-de-France,Paris,1250,,13,1250,1250,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_033,
156,Lewis E34,Free Library of Philadelphia,Philadelphia,United States of America,Paris,Y,France,Ile-de-France,Paris,1250,,13,1250,1250,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_034,
157,Lewis E36,Free Library of Philadelphia,Philadelphia,United States of America,"Padua or Venice, Italy",Y,Italy,,,1260-80,,13,1260,1280,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_036,
158,Lewis E37,Free Library of Philadelphia,Philadelphia,United States of America,Naples/Genoa,Y,,,,1260-80,,13,1260,1280,,,375,250,625,,275,170,1,499,,,2,,52,,Y,,https://archive.org/details/lewis_e_037,
159,Lewis E38,Free Library of Philadelphia,Philadelphia,United States of America,Siena,Y,Italy,Tuscany,Siena,1250,,13,1250,1250,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_038/,
160,Lewis E39,Free Library of Philadelphia,Philadelphia,United States of America,Italy,Y,Italy,,,1240,,13,,,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_039/,
161,Lewis E40,Free Library of Philadelphia,Philadelphia,United States of America,Italy,Y,Italy,,,14th,,14,1301,1400,,,,,0,,,,,,,,,,,,Y,,https://archive.org/details/lewis_e_040/,
162,MS Richardson 1,"Harvard University, Houghton Library","Cambridge, MA",United States of America,England?,N,England?,,,1250,1250,13,,,,,,,0,,,,,446,,,,,,,P,,https://iiif.lib.harvard.edu/manifests/view/drs:4510608$1i,
163,Lat 006,"Harvard University, Houghton Library","Cambridge, MA",United States of America,France,Y,France,,,1225 - 1250,,13,1225,1250,,,,,0,,,,,3,,,,,,,P,,http://ds.lib.berkeley.edu/MSLat006_2,
164,Lat 036,"Harvard University, Houghton Library","Cambridge, MA",United States of America,France,Y,France,,,1290 - 1310,,13/14,1290,1310,,,,,0,,,,,463,,,,,,,P,,,https://iiif.lib.harvard.edu/manifests/view/drs:4145774$15i
165,Lat 261,"Harvard University, Houghton Library","Cambridge, MA",United States of America,France,Y,France,,,1200 - 1299,,13,,,,,,,0,,,,,423,,,,,,,P,,,https://iiif.lib.harvard.edu/manifests/view/drs:4298054$24i
166,Lat 354,"Harvard University, Houghton Library","Cambridge, MA",United States of America,France,Y,France,,,1200 - 1299,,13,,,,,,,0,,,,,354,,,,,,,P,,,https://iiif.lib.harvard.edu/manifests/view/drs:4298059$1i
167,Richardson 001,"Harvard University, Houghton Library","Cambridge, MA",United States of America,England,Y,England,,,1200 - 1299,,13,1200,1299,,,270,?,#VALUE!,,,,,86,,,,,,,P,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Richardson%20001;docsPerPage=1;startDoc=1;fullview=yes,
168,Typ 0004,"Harvard University, Houghton Library","Cambridge, MA",United States of America,England,Y,England,,,1250 - 1299,,13,1250,1299,,,180,?,#VALUE!,,,,,465,,,,,,,P,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Typ%200004;docsPerPage=1;startDoc=1;fullview=yes,
169,Typ 0295,"Harvard University, Houghton Library","Cambridge, MA",United States of America,Italy,Y,Italy,,,1200 - 1299,,13,,,,,,,0,,,,,8,,,2,,,,P,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=latin%20bible;centuryfacet=13;docsPerPage=1;startDoc=15;fullview=yes,
170,Typ 414,"Harvard University, Houghton Library","Cambridge, MA",United States of America,France,,France,,,1200 - 1299,,13,1200,1250,,,320,230,550,,,,,368,,,,,,,P,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Typ%200414;docsPerPage=1;startDoc=1;fullview=yes,https://iiif.lib.harvard.edu/manifests/view/drs:3948912$17i
171,Typ 446,"Harvard University, Houghton Library","Cambridge, MA",United States of America,England,Y,England,Bury St Edmunds,Suffolk,1200 - 1299,,13,,,,,200,140,340,,,,,554,,,,,,,P,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Typ%200446;docsPerPage=1;startDoc=1;fullview=yes,https://iiif.lib.harvard.edu/manifests/view/drs:3983598$9i
172,Quaker & Special Collections J2.16.10,Haverford College,"Haverford, Pennsylvania",United States of America,northern France,Y,France,,,1250,,13,1250,1250,,,235,165,400,,,,,452,,,,,,,Y,Y,https://bibliophilly.library.upenn.edu/viewer.php?id=1250%20J2.16.10#page/1/mode/2up,
173,16,Hofbibliothek Aschaffenburg,"Aschaffenburg,",Germany,northern France,Y,France,,,2nd half 13,,13,,,,,,,0,,,,2,,,,,,,,Y,,https://daten.digitale-sammlungen.de/0012/bsb00121974/images/index.html?id=00121974&groesser=&fip=weayayztssdaseayaxsewqeayaxdsydeaya&no=13&seite=11,
174,17,Hofbibliothek Aschaffenburg,"Aschaffenburg,",Germany,northern France,Y,France,,,just after mid 13,,13,,,,,,,0,,,,,,,,,,,,Y,,https://daten.digitale-sammlungen.de/0012/bsb00121978/images/index.html?id=00121978&groesser=&fip=weayayztssdaseayaxsewqeayaxdsydeaya&no=1&seite=3,
175,18,Hofbibliothek Aschaffenburg,"Aschaffenburg,",Germany,northern France,Y,France,,,1273,,13,,,,,,,0,,,,,341,,,2,,,,Y,,https://daten.digitale-sammlungen.de/0012/bsb00121979/images/index.html?id=00121979&groesser=&fip=193.174.98.30&no=&seite=9,
176,Lat 036,"Harvard University, Houghton Library","Cambridge, MA",United States of America,France,,France,Ile-de-France,Paris,,,13,1290,1310,,,380,?,#VALUE!,,,,,463,,,2,,,,P,,https://digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Lat%20036;docsPerPage=1;startDoc=1;fullview=yes,https://iiif.lib.harvard.edu/manifests/view/drs:4145774$1i
177,Typ 414,"Harvard University, Houghton Library","Cambridge, MA",United States of America,France,,France,Unknown,Unknown,1200-1299,,13,1200,1300,,,,,340,,,,,368,,,2,,,,P,,https://digitalcollections.library.harvard.edu/catalog/990098001420203941,https://iiif.lib.harvard.edu/manifests/drs:3948912
178,Ricketts III: 25,"Indiana University, Bloomington, Lilly Library","Bloomington, IN",United States of America,England,Y,,,,1240 - 1260,,13,1240,1260,,,83,130,213,,,,,1,,,2,,52,,P,,http://ds.lib.berkeley.edu/RickettsIII25_40,
179,Ms. 107 (2011.23),J. Paul Getty Museum,"Los Angeles, CA",United States of America,,,Italy,Emilia-Romagna,Bologna,,,13,1250,1262,,,,,0,,,,,,,,2,,,,P,,https://www.getty.edu/art/collection/objects/253400/unknown-maker-abbey-bible-italian-about-1250-1262/,https://www.getty.edu/art/collection/static/viewers/mirador/?manifest=https://data.getty.edu/museum/api/iiif/253400/manifest.json
180,Ms. Ludwig I 11 (83.MA.60),J. Paul Getty Museum,"Los Angeles, CA",United States of America,,,Italy,Emilia-Romagna,Bologna,,,13,1280,1290,,,,,0,,,,,,,,2,,,,P,,https://www.getty.edu/art/collection/objects/1349/unknown-maker-bible-italian-about-1280-1290/,https://data.getty.edu/museum/api/iiif/1349/manifest.json
181,Ms. Ludwig I 8 - v3 (83.MA.57.3),J. Paul Getty Museum,"Los Angeles, CA",United States of America,,,France,Hauts-de-France,Lille?,,,13,1270,,,,,,0,,,,,,,,2,,,,P,,https://www.getty.edu/art/collection/objects/2808/unknown-maker-initial-i-the-rebuilding-of-the-temple-franco-flemish-about-1270/,
182,Marquette Bible,J. Paul Getty Museum,"Los Angeles, CA",United States of America,,,,,,,,,,,,,,,0,,,,,,,,,,,,P,,https://www.getty.edu/art/collection/objects/1343/unknown-maker-marquette-bible-3-vols-franco-flemish-about-1270/,
183,9,Library Company of Philadelphia,Philadelphia,United States of America,England,Y,,,,1200,,13,1200,1200,,,,,0,,,,,,,,1,,,,Y,,https://archive.org/details/lcp_ms9,
184,LAD 2013.051,Louvre Abu Dhabi,Abu Dhabi,United arab emirates,Rouen region,Y,,,,56,,,,,Unknown,,290,190,480,,160,115,2,319 ff. + 364 ff.,,,2,,,,Y,,N/A,
185,LAD 2013.051,Louvre Abu Dhabi,Abu Dhabi,United arab emirates,,,France,Normandie?,Rouen?,,,13,1250,1280,,,,,0,,,,,,,,2,,,,Y,,N/A,
186,7,Médiathèque,Orléans,France,,,France,Ile-de-France,Paris,,,13,1250,1275,,,,,0,,,,,,,,2,,,,Y,?,https://mediatheques.orleans-metropole.fr/ark:/77916/FRCGMBPF-452346101-01A/D18010009,
187,12,Médiathèque,Orléans,France,,,France,Ile-de-France,Paris,,,13,1200,1215,,,,,0,,,,,,,,2,,,,Y,,https://mediatheques.orleans-metropole.fr/ark:/77916/FRCGMBPF-452346101-01A/D18010304,
